Player,Club,Age,Position,Nation,Value,Contract Years Left,League
Robert Lewandowski,Bayern Munich,33,attack,Poland,54000000,2,Bundesliga
Alisson,Liverpool FC,28,Goalkeeper,Brazil,54000000,6,Premier League
Gabriel Jesus,Manchester City,24,attack,Brazil,54000000,2,Premier League
Fabinho,Liverpool FC,27,midfield,Brazil,54000000,5,Premier League
Eduardo Camavinga,Real Madrid,18,midfield,France,49500000,6,La Liga
João Cancelo,Manchester City,27,Defender,Portugal,49500000,4,Premier League
Franck Kessié,AC Milan,24,midfield,Cote d'Ivoire,49500000,1,Serie A
Jude Bellingham,Borussia Dortmund,18,midfield,England,49500000,4,Bundesliga
Richarlison,Everton FC,24,attack,Brazil,49500000,3,Premier League
Youri Tielemans,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",24,midfield,Belgium,49500000,2,UNKNOWN
Marco Verratti,Paris Saint-Germain,28,midfield,Italy,49500000,3,Ligue 1
James Maddison,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",24,midfield,England,49500000,3,UNKNOWN
Virgil van Dijk,Liverpool FC,30,Defender,Netherlands,49500000,4,Premier League
David Alaba,Real Madrid,29,Defender,Austria,49500000,5,La Liga
N'Golo Kanté,Chelsea FC,30,midfield,France,49500000,2,Premier League
Christian Pulisic,Chelsea FC,22,attack,United States,45000000,3,Premier League
Theo Hernández,AC Milan,23,Defender,France,45000000,3,Serie A
Dani Olmo,RB Leipzig,23,midfield,Spain,45000000,3,Bundesliga
Stefan de Vrij,Inter Milan,29,Defender,Netherlands,45000000,2,Serie A
Ferran Torres,Manchester City,21,attack,Spain,45000000,4,Premier League
Ferland Mendy,Real Madrid,26,Defender,France,45000000,4,La Liga
Tanguy Ndombélé,Tottenham Hotspur,24,midfield,France,45000000,4,Premier League
Pau Torres,Villarreal CF,24,Defender,Spain,45000000,3,La Liga
Paulo Dybala,Juventus FC,27,attack,Argentina,45000000,1,Serie A
Ederson,Manchester City,28,Goalkeeper,Brazil,45000000,5,Premier League
Piotr Zielinski,SSC Napoli,27,midfield,Poland,45000000,3,Serie A
Roberto Firmino,Liverpool FC,29,attack,Brazil,45000000,2,Premier League
Victor Osimhen,SSC Napoli,22,attack,Nigeria,45000000,4,Serie A
Harry Maguire,Manchester United,28,Defender,England,45000000,4,Premier League
Mason Greenwood,Manchester United,19,attack,England,45000000,4,Premier League
Ousmane Dembélé,FC Barcelona,24,attack,France,45000000,1,La Liga
Kalidou Koulibaly,SSC Napoli,30,Defender,Senegal,43200000,2,Serie A
Lorenzo Insigne,SSC Napoli,30,attack,Italy,43200000,1,Serie A
Anthony Martial,Manchester United,25,attack,France,40500000,3,Premier League
Lucas Hernández,Bayern Munich,25,Defender,France,40500000,3,Bundesliga
Cristiano Ronaldo,Manchester United,36,attack,Portugal,40500000,2,Premier League
Caglar Söyüncü,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",25,Defender,Turkey,40500000,2,UNKNOWN
Aymeric Laporte,Manchester City,27,Defender,Spain,40500000,4,Premier League
André Silva,RB Leipzig,25,attack,Portugal,40500000,5,Bundesliga
Florian Wirtz,Bayer 04 Leverkusen,18,midfield,Germany,40500000,5,Bundesliga
Memphis Depay,FC Barcelona,27,attack,Netherlands,40500000,2,La Liga
Dominic Calvert-Lewin,Everton FC,24,attack,England,40500000,4,Premier League
Rúben Neves,Wolverhampton Wanderers,24,midfield,Portugal,40500000,3,Premier League
Diogo Jota,Liverpool FC,24,attack,Portugal,40500000,4,Premier League
Luis Alberto,SS Lazio,28,midfield,Spain,40500000,4,Serie A
Diego Carlos,Sevilla FC,28,Defender,Brazil,40500000,3,La Liga
Mateo Kovacic,Chelsea FC,27,midfield,Croatia,40500000,3,Premier League
Wilfried Zaha,Crystal Palace,28,attack,Cote d'Ivoire,40500000,2,Premier League
Jorginho,Chelsea FC,29,midfield,Italy,40500000,2,Premier League
Álvaro Morata,Juventus FC,28,attack,Spain,40500000,1,Serie A
Ben Chilwell,Chelsea FC,24,Defender,England,40500000,4,Premier League
Fabian Ruiz Pena,SSC Napoli,25,midfield,Spain,40500000,2,Serie A
Hirving Lozano,SSC Napoli,26,attack,Mexico,40500000,3,Serie A
Christopher Nkunku,RB Leipzig,23,midfield,France,38700000,3,Bundesliga
Houssem Aouar,Olympique Lyon,23,midfield,France,37800000,2,Ligue 1
Marcel Sabitzer,Bayern Munich,27,midfield,Austria,37800000,4,Bundesliga
Riyad Mahrez,Manchester City,30,attack,Algeria,37800000,2,Premier League
Luke Shaw,Manchester United,26,Defender,England,37800000,2,Premier League
Ángel Correa,Atlético de Madrid,26,attack,Argentina,36000000,3,La Liga
Mikel Merino,Real Sociedad,25,midfield,Spain,36000000,4,La Liga
Toni Kroos,Real Madrid,31,midfield,Germany,36000000,2,La Liga
Edmond Tapsoba,Bayer 04 Leverkusen,22,Defender,Burkina Faso,36000000,5,Bundesliga
Eden Hazard,Real Madrid,30,attack,Belgium,36000000,3,La Liga
Wesley Fofana,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",20,Defender,France,36000000,4,UNKNOWN
Vinícius Júnior,Real Madrid,21,attack,Brazil,36000000,4,La Liga
Lorenzo Pellegrini,AS Roma,25,midfield,Italy,36000000,1,Serie A
Éder Militão,Real Madrid,23,Defender,Brazil,36000000,4,La Liga
Pierre Hojbjerg,Tottenham Hotspur,26,midfield,Denmark,36000000,4,Premier League
Gerard Moreno,Villarreal CF,29,attack,Spain,36000000,6,La Liga
Alexander Isak,Real Sociedad,21,attack,Sweden,36000000,5,La Liga
Tomas Soucek,West Ham United,26,midfield,Czech Republic,36000000,3,Premier League
Nicolò Zaniolo,AS Roma,22,midfield,Italy,36000000,3,Serie A
Yannick Carrasco,Atlético de Madrid,27,attack,Belgium,36000000,3,La Liga
Presnel Kimpembe,Paris Saint-Germain,26,Defender,France,36000000,3,Ligue 1
Aaron Wan-Bissaka,Manchester United,23,Defender,England,36000000,3,Premier League
Nuno Mendes,Paris Saint-Germain,19,Defender,Portugal,36000000,1,Ligue 1
Reece James,Chelsea FC,21,Defender,England,36000000,4,Premier League
Christian Eriksen,Inter Milan,29,midfield,Denmark,36000000,3,Serie A
Carlos Soler,Valencia CF,24,midfield,Spain,36000000,2,La Liga
Youssef En-Nesyri,Sevilla FC,24,attack,Morocco,36000000,4,La Liga
Lucas Ocampos,Sevilla FC,27,attack,Argentina,36000000,3,La Liga
Dusan Vlahovic,ACF Fiorentina,21,attack,Serbia,36000000,2,Serie A
Mauro Icardi,Paris Saint-Germain,28,attack,Argentina,36000000,3,Ligue 1
Rodrigo De Paul,Atlético de Madrid,27,midfield,Argentina,36000000,5,La Liga
Raphaël Guerreiro,Borussia Dortmund,27,Defender,Portugal,36000000,2,Bundesliga
Saúl Ñíguez,Chelsea FC,26,midfield,Spain,36000000,1,Premier League
Kalvin Phillips,Leeds United,25,midfield,England,36000000,3,Premier League
Dejan Kulusevski,Juventus FC,21,attack,Sweden,36000000,4,Serie A
Thomas Partey,Arsenal FC,28,midfield,Ghana,36000000,4,Premier League
Marcelo Brozovic,Inter Milan,28,midfield,Croatia,36000000,1,Serie A
Arthur Melo,Juventus FC,25,midfield,Brazil,36000000,4,Serie A
Ilkay Gündogan,Manchester City,30,midfield,Germany,36000000,2,Premier League
Martin Ødegaard,Arsenal FC,22,midfield,Norway,36000000,4,Premier League
Gio Reyna,Borussia Dortmund,18,midfield,United States,34200000,4,Bundesliga
Tammy Abraham,AS Roma,23,attack,England,34200000,5,Serie A
Ismaël Bennacer,AC Milan,23,midfield,Algeria,34200000,3,Serie A
Jamal Musiala,Bayern Munich,18,midfield,Germany,34200000,5,Bundesliga
Moussa Diaby,Bayer 04 Leverkusen,22,attack,France,34200000,4,Bundesliga
Ciro Immobile,SS Lazio,31,attack,Italy,34200000,4,Serie A
Hakim Ziyech,Chelsea FC,28,midfield,Morocco,34200000,4,Premier League
Boubacar Kamara,Olympique Marseille,21,midfield,France,33300000,1,Ligue 1
Emi Buendia,Aston Villa,24,attack,Argentina,31500000,5,Premier League
Lucas Paquetá,Olympique Lyon,24,midfield,Brazil,31500000,4,Ligue 1
Douglas Luiz,Aston Villa,23,midfield,Brazil,31500000,2,Premier League
Rodrigo Bentancur,Juventus FC,24,midfield,Uruguay,31500000,3,Serie A
Moise Kean,Juventus FC,21,attack,Italy,31500000,2,Serie A
Benjamin Pavard,Bayern Munich,25,Defender,France,31500000,3,Bundesliga
Domenico Berardi,US Sassuolo,27,attack,Italy,31500000,3,Serie A
Harvey Barnes,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",23,midfield,England,31500000,4,UNKNOWN
Cristian Romero,Tottenham Hotspur,23,Defender,Argentina,31500000,1,Premier League
Marcus Thuram,Borussia Mönchengladbach,24,attack,France,31500000,2,Bundesliga
Nicolas Pépé,Arsenal FC,26,attack,Cote d'Ivoire,31500000,3,Premier League
Niklas Süle,Bayern Munich,25,Defender,Germany,31500000,1,Bundesliga
Ibrahima Konaté,Liverpool FC,22,Defender,France,31500000,5,Premier League
Pedro Neto,Wolverhampton Wanderers,21,attack,Portugal,31500000,4,Premier League
Manuel Locatelli,Juventus FC,23,midfield,Italy,31500000,2,Serie A
Jose Luis Gaya,Valencia CF,26,Defender,Spain,31500000,2,La Liga
Filip Kostic,Eintracht Frankfurt,28,midfield,Serbia,31500000,2,Bundesliga
Jonathan David,LOSC Lille,21,attack,Canada,31500000,4,Ligue 1
Rodrygo,Real Madrid,20,attack,Brazil,31500000,4,La Liga
Scott McTominay,Manchester United,24,midfield,Scotland,31500000,4,Premier League
Marco Asensio,Real Madrid,25,attack,Spain,31500000,2,La Liga
Emiliano Martínez,Aston Villa,29,Goalkeeper,Argentina,31500000,3,Premier League
Robin Gosens,Atalanta BC,27,Defender,Germany,31500000,2,Serie A
Wissam Ben Yedder,AS Monaco,31,attack,France,31500000,3,Ligue 1
Mario Hermoso,Atlético de Madrid,26,Defender,Spain,31500000,3,La Liga
Lucas Digne,Everton FC,28,Defender,France,31500000,4,Premier League
Angeliño,RB Leipzig,24,Defender,Spain,31500000,4,Bundesliga
Andrea Belotti,Torino FC,27,attack,Italy,31500000,1,Serie A
Leon Bailey,Aston Villa,24,attack,Jamaica,31500000,4,Premier League
Hakan Calhanoglu,Inter Milan,27,midfield,Turkey,31500000,3,Serie A
Florian Neuhaus,Borussia Mönchengladbach,24,midfield,Germany,31500000,3,Bundesliga
Jordan Veretout,AS Roma,28,midfield,France,29700000,3,Serie A
Duván Zapata,Atalanta BC,30,attack,Colombia,29700000,2,Serie A
Nathan Aké,Manchester City,26,Defender,Netherlands,28800000,4,Premier League
Ollie Watkins,Aston Villa,25,attack,England,28800000,4,Premier League
Kieran Tierney,Arsenal FC,24,Defender,Scotland,28800000,5,Premier League
Naby Keïta,Liverpool FC,26,midfield,Guinea,28800000,2,Premier League
Ante Rebic,AC Milan,27,attack,Croatia,28800000,4,Serie A
Callum Hudson-Odoi,Chelsea FC,20,attack,England,28800000,3,Premier League
Kurt Zouma,West Ham United,26,Defender,France,28800000,4,Premier League
Davinson Sánchez,Tottenham Hotspur,25,Defender,Colombia,28800000,3,Premier League
Joe Gomez,Liverpool FC,24,Defender,England,27000000,3,Premier League
Adrien Rabiot,Juventus FC,26,midfield,France,27000000,2,Serie A
Andreas Christensen,Chelsea FC,25,Defender,Denmark,27000000,1,Premier League
Joan Jordán,Sevilla FC,27,midfield,Spain,27000000,2,La Liga
Dani Carvajal,Real Madrid,29,Defender,Spain,27000000,4,La Liga
John McGinn,Aston Villa,26,midfield,Scotland,27000000,4,Premier League
Adama Traoré,Wolverhampton Wanderers,25,attack,Spain,27000000,2,Premier League
James Ward-Prowse,Southampton FC,26,midfield,England,27000000,5,Premier League
Donny van de Beek,Manchester United,24,midfield,Netherlands,27000000,4,Premier League
Tyrone Mings,Aston Villa,28,Defender,England,27000000,3,Premier League
Thiago Alcantara,Liverpool FC,30,midfield,Spain,27000000,3,Premier League
Gianluca Mancini,AS Roma,25,Defender,Italy,27000000,3,Serie A
Curtis Jones,Liverpool FC,20,midfield,England,27000000,4,Premier League
Nikola Vlasic,West Ham United,23,midfield,Croatia,27000000,5,Premier League
Matheus Cunha,Atlético de Madrid,22,attack,Brazil,27000000,5,La Liga
Jarrod Bowen,West Ham United,24,attack,England,27000000,4,Premier League
Leander Dendoncker,Wolverhampton Wanderers,26,midfield,Belgium,27000000,2,Premier League
Thomas Müller,Bayern Munich,31,attack,Germany,27000000,2,Bundesliga
Ruslan Malinovskyi,Atalanta BC,28,midfield,Ukraine,27000000,2,Serie A
Ricardo Pereira,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",27,Defender,Portugal,27000000,2,UNKNOWN
Matthias Ginter,Borussia Mönchengladbach,27,Defender,Germany,27000000,1,Bundesliga
John Stones,Manchester City,27,Defender,England,27000000,5,Premier League
Denis Zakaria,Borussia Mönchengladbach,24,midfield,Switzerland,27000000,1,Bundesliga
Dele Alli,Tottenham Hotspur,25,midfield,England,27000000,3,Premier League
Bryan,Tottenham Hotspur,20,attack,Spain,27000000,5,Premier League
Georginio Wijnaldum,Paris Saint-Germain,30,midfield,Netherlands,27000000,3,Ligue 1
Aurélien Tchouaméni,AS Monaco,21,midfield,France,27000000,3,Ligue 1
Joaquín Correa,Inter Milan,27,attack,Argentina,27000000,1,Serie A
Raphael Dias Belloli,Leeds United,24,attack,Brazil,27000000,3,Premier League
Bruno Guimarães,Olympique Lyon,23,midfield,Brazil,27000000,3,Ligue 1
Wout Weghorst,VfL Wolfsburg,29,attack,Netherlands,27000000,2,Bundesliga
Kevin Volland,AS Monaco,29,attack,Germany,27000000,3,Ligue 1
Luis Muriel,Atalanta BC,30,attack,Colombia,27000000,2,Serie A
Donyell Malen,Borussia Dortmund,22,attack,Netherlands,27000000,5,Bundesliga
Sergiño Dest,FC Barcelona,20,Defender,United States,27000000,4,La Liga
Amine Gouiri,OGC Nice,21,attack,France,27000000,3,Ligue 1
Allan Saint-Maximin,"All information about Newcastle (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",24,attack,France,27000000,5,UNKNOWN
Philippe Coutinho,FC Barcelona,29,midfield,Brazil,27000000,2,La Liga
Manuel Akanji,Borussia Dortmund,26,Defender,Switzerland,27000000,2,Bundesliga
Renato Sanches,LOSC Lille,24,midfield,Portugal,27000000,2,Ligue 1
Jonathan Ikoné,LOSC Lille,23,attack,France,27000000,2,Ligue 1
Matteo Politano,SSC Napoli,28,attack,Italy,27000000,3,Serie A
Merih Demiral,Atalanta BC,23,Defender,Turkey,25200000,1,Serie A
Aleksandr Golovin,AS Monaco,25,midfield,Russia,25200000,3,Ligue 1
Sven Botman,LOSC Lille,21,Defender,Netherlands,25200000,4,Ligue 1
Alexandre Lacazette,Arsenal FC,30,attack,France,25200000,1,Premier League
Oleksandr Zinchenko,Manchester City,24,Defender,Ukraine,25200000,3,Premier League
Antonio Rüdiger,Chelsea FC,28,Defender,Germany,25200000,1,Premier League
James Rodríguez,Everton FC,30,midfield,Colombia,25200000,1,Premier League
Patrik Schick,Bayer 04 Leverkusen,25,attack,Czech Republic,25200000,4,Bundesliga
Nico Elvedi,Borussia Mönchengladbach,24,Defender,Switzerland,25200000,3,Bundesliga
Benoît Badiashile,AS Monaco,20,Defender,France,25200000,3,Ligue 1
Obite N'Dicka,Eintracht Frankfurt,22,Defender,France,25200000,2,Bundesliga
Maxence Lacroix,VfL Wolfsburg,21,Defender,France,25200000,3,Bundesliga
Timothy Castagne,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",25,Defender,Belgium,25200000,4,UNKNOWN
Boubakary Soumaré,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",22,midfield,France,25200000,5,UNKNOWN
Fikayo Tomori,AC Milan,23,Defender,England,25200000,4,Serie A
Kyle Walker,Manchester City,31,Defender,England,25200000,3,Premier League
Raúl Jiménez,Wolverhampton Wanderers,30,attack,Mexico,25200000,3,Premier League
Ben White,Arsenal FC,23,Defender,England,25200000,5,Premier League
Nélson Semedo,Wolverhampton Wanderers,27,Defender,Portugal,25200000,2,Premier League
Andrej Kramaric,TSG 1899 Hoffenheim,30,attack,Croatia,25200000,1,Bundesliga
Rayan Cherki,Olympique Lyon,18,midfield,France,24300000,2,Ligue 1
Xaver Schlager,VfL Wolfsburg,23,midfield,Austria,24300000,2,Bundesliga
Giovani Lo Celso,Tottenham Hotspur,25,midfield,Argentina,24300000,4,Premier League
Sandro Tonali,AC Milan,21,midfield,Italy,24300000,5,Serie A
Lukas Klostermann,RB Leipzig,25,Defender,Germany,24300000,3,Bundesliga
Thorgan Hazard,Borussia Dortmund,28,attack,Belgium,24300000,3,Bundesliga
Dani Ceballos,Real Madrid,25,midfield,Spain,24300000,2,La Liga
Jérémy Doku,Stade Rennais FC,19,attack,Belgium,23400000,4,Ligue 1
Konrad Laimer,RB Leipzig,24,midfield,Austria,23400000,2,Bundesliga
Leonardo Spinazzola,AS Roma,28,Defender,Italy,23400000,3,Serie A
Emre Can,Borussia Dortmund,27,midfield,Germany,23400000,3,Bundesliga
James Tarkowski,Burnley FC,28,Defender,England,22500000,1,Premier League
Dominik Szoboszlai,RB Leipzig,20,attack,Hungary,22500000,5,Bundesliga
Ilaix,RB Leipzig,18,midfield,Guinea,22500000,5,Bundesliga
Nordi Mukiele,RB Leipzig,23,Defender,France,22500000,2,Bundesliga
Duje Caleta-Car,Olympique Marseille,24,Defender,Croatia,22500000,2,Ligue 1
Jan Bednarek,Southampton FC,25,Defender,Poland,22500000,4,Premier League
Lewis Dunk,Brighton &amp; Hove Albion,29,Defender,England,22500000,4,Premier League
Roger Ibañez,AS Roma,22,Defender,Brazil,22500000,4,Serie A
Weston McKennie,Juventus FC,23,midfield,United States,22500000,4,Serie A
Wojciech Szczesny,Juventus FC,31,Goalkeeper,Poland,22500000,3,Serie A
Jonathan Bamba,LOSC Lille,25,attack,France,22500000,2,Ligue 1
Yves Bissouma,Brighton &amp; Hove Albion,25,midfield,Mali,22500000,2,Premier League
Rafael Leão,AC Milan,22,attack,Portugal,22500000,3,Serie A
Marash Kumbulla,AS Roma,21,Defender,Albania,22500000,1,Serie A
Remo Freuler,Atalanta BC,29,midfield,Switzerland,22500000,1,Serie A
Daichi Kamada,Eintracht Frankfurt,25,midfield,Japan,22500000,2,Bundesliga
Alessio Romagnoli,AC Milan,26,Defender,Italy,22500000,1,Serie A
Karim Benzema,Real Madrid,33,attack,France,22500000,2,La Liga
Stefan Savic,Atlético de Madrid,30,Defender,Montenegro,22500000,3,La Liga
Renan Lodi,Atlético de Madrid,23,Defender,Brazil,22500000,4,La Liga
Jason Denayer,Olympique Lyon,26,Defender,Belgium,22500000,1,Ligue 1
Thomas Lemar,Atlético de Madrid,25,midfield,France,22500000,2,La Liga
Mike Maignan,AC Milan,26,Goalkeeper,France,22500000,5,Serie A
Gonçalo Guedes,Valencia CF,24,attack,Portugal,22500000,2,La Liga
Maxi Gómez,Valencia CF,25,attack,Uruguay,22500000,3,La Liga
Abdou Diallo,Paris Saint-Germain,25,Defender,Senegal,22500000,3,Ligue 1
Ridle Baku,VfL Wolfsburg,23,attack,Germany,22500000,4,Bundesliga
Andre-Frank Zambo Anguissa,SSC Napoli,25,midfield,Cameroon,22500000,1,Serie A
Davide Calabria,AC Milan,24,Defender,Italy,22500000,4,Serie A
Silas Katompa,VfB Stuttgart,22,midfield,DR Congo,22500000,3,Bundesliga
Héctor Bellerín,Real Betis Balompié,26,Defender,Spain,22500000,1,La Liga
Clément Lenglet,FC Barcelona,26,Defender,France,22500000,5,La Liga
Ronald Araújo,FC Barcelona,22,Defender,Uruguay,22500000,2,La Liga
Nabil Fekir,Real Betis Balompié,28,midfield,France,22500000,2,La Liga
Iñaki Williams,Athletic Bilbao,27,attack,Spain,22500000,7,La Liga
Thilo Kehrer,Paris Saint-Germain,24,Defender,Germany,22500000,2,Ligue 1
Nikola Milenkovic,ACF Fiorentina,23,Defender,Serbia,22500000,2,Serie A
Pierre-Emerick Aubameyang,Arsenal FC,32,attack,Gabon,22500000,2,Premier League
Lucas Moura,Tottenham Hotspur,29,attack,Brazil,22500000,3,Premier League
Michael Keane,Everton FC,28,Defender,England,22500000,4,Premier League
Jordan Pickford,Everton FC,27,Goalkeeper,England,22500000,3,Premier League
Gabriel,Arsenal FC,23,Defender,Brazil,22500000,4,Premier League
Fábio Silva,Wolverhampton Wanderers,19,attack,Portugal,22500000,4,Premier League
Edouard Mendy,Chelsea FC,29,Goalkeeper,Senegal,22500000,4,Premier League
Conor Coady,Wolverhampton Wanderers,28,Defender,England,22500000,4,Premier League
Daniel Podence,Wolverhampton Wanderers,25,attack,Portugal,22500000,3,Premier League
Abdoulaye Doucouré,Everton FC,28,midfield,France,22500000,2,Premier League
Ben Godfrey,Everton FC,23,Defender,England,22500000,4,Premier League
Emerson Royal,Tottenham Hotspur,22,Defender,Brazil,22500000,5,Premier League
Ezri Konsa,Aston Villa,23,Defender,England,22500000,5,Premier League
Sergio Reguilón,Tottenham Hotspur,24,Defender,Spain,22500000,4,Premier League
Victor Lindelöf,Manchester United,27,Defender,Sweden,21600000,3,Premier League
Amadou Haidara,RB Leipzig,23,midfield,Mali,21600000,4,Bundesliga
Giovanni Di Lorenzo,SSC Napoli,28,Defender,Italy,21600000,5,Serie A
Kostas Manolas,SSC Napoli,30,Defender,Greece,20700000,3,Serie A
Marten de Roon,Atalanta BC,30,midfield,Netherlands,20700000,3,Serie A
Mario Pasalic,Atalanta BC,26,midfield,Croatia,20700000,4,Serie A
Patrick Bamford,Leeds United,27,attack,England,19800000,5,Premier League
Eric Dier,Tottenham Hotspur,27,Defender,England,19800000,3,Premier League
Jeff Reine-Adélaïde,Olympique Lyon,23,midfield,France,19800000,3,Ligue 1
Martinelli,Arsenal FC,20,attack,Brazil,19800000,3,Premier League
Patson Daka,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",22,attack,Zambia,19800000,5,UNKNOWN
Granit Xhaka,Arsenal FC,28,midfield,Switzerland,19800000,3,Premier League
Bernd Leno,Arsenal FC,29,Goalkeeper,Germany,19800000,1,Premier League
Francisco Trincão,Wolverhampton Wanderers,21,attack,Portugal,19800000,1,Premier League
